n,k,p_n,growth_avg,entry,factors,runtime_s,timeout
275,-268,6774834890606225141173516811572502278198015013574396680831216335398617329151907603978668142246096783935124807379323548375243201310628687467252217390229891019593029,0.9420805450590286,3685510180489786476798393145495441239339720167384471794372181686456847827058637736564395469381876650460707895214352010316132301512982005982185206260285060714658607776,"{2: 5, 17: 1, 6774834890606225141173516811572502278198015013574396680831216335398617329151907603978668142246096783935124807379323548375243201310628687467252217390229891019593029: 1}",30.025549173355103,0.23059773445129395
276,-193,230340565783768750794926635963115677167751568728179329435348479239298071962873606968052273278909662451433059117637713145060025249339051160407975777944718782478464413,0.9422510155169067,14741796210161200050875304701639403338736100398603477083862302671315076605623910845955345489850218396891715783528813641283841615957699274266110449788462002078621722432,"{2: 6, 230340565783768750794926635963115677167751568728179329435348479239298071962873606968052273278909662451433059117637713145060025249339051160407975777944718782478464413: 1}",30.26316547393799,0.23059773445129395
277,-124,4551392190623689253707057910958470302594926860882940723405249585042630615729500357281297024746800898359675860003700294004000678672460477071176829991656617470669,0.9423055308396563,10763277896937000305222569173687741242626166078275526476811883186695534244256825788910244205626026662069708983364270573670068932946352054913185245222829302006397112608,"{2: 5, 67: 1, 1103: 1, 4551392190623689253707057910958470302594926860882940723405249585042630615729500357281297024746800898359675860003700294004000678672460477071176829991656617470669: 1}",30.97563624382019,0.23059773445129395
278,-127,853260065774820884514093593373770673947204882498695699082484281284793931466451174334382919532171715474782428401306083552405689800648229334596270370805753322699923693,0.9424605908646507,54608644209588536608901989975921323132621112479916524741278994002226811613852875157400506850058989790386075417683589347353964147241486677414161303731568212652795116352,"{2: 6, 853260065774820884514093593373770673947204882498695699082484281284793931466451174334382919532171715474782428401306083552405689800648229334596270370805753322699923693: 1}",30.740848064422607,0.23059773445129395
279,-186,14738164035054678849746018755674202133019205394514044997101184472303099030769458617696473989108130304486413262274734112676082671368274749467703594048369227385565570407,0.9426282827677918,943242498243499446383745200363148936513229145248898879814475806227398337969245351532574335302920339487130448785582983211269290967569583965933030019095630552676196506048,"{2: 6, 14738164035054678849746018755674202133019205394514044997101184472303099030769458617696473989108130304486413262274734112676082671368274749467703594048369227385565570407: 1}",31.092692852020264,0.23059773445129395
280,-183,7365857608999182770321716637151301954438220780420580031901797206616157761022145146835732166848749337576950529258453454150017313714888051711466349950387479356147983141,0.9427757773520704,3771319095807581578404718918221466600672369039575336976333720169787472773643338315179894869426559660839398670980328168524808864622022682476270771174598389430347767368192,"{2: 9, 7365857608999182770321716637151301954438220780420580031901797206616157761022145146835732166848749337576950529258453454150017313714888051711466349950387479356147983141: 1}",30.75320339202881,0.23059773445129395
281,-106,225787742963636933889734362404122757072345800461345794306086343710608368278935019953472779967347308051277243029346205075909478362990708815542963775691641062542353,0.9428148181670019,191941257142415902951927622542295139296172875588988214356426776443013331440449544722367396359122077185158579190275091550210343918464949601257811333860361300703004115888,"{2: 4, 13: 1, 61: 1, 67: 1, 225787742963636933889734362404122757072345800461345794306086343710608368278935019953472779967347308051277243029346205075909478362990708815542963775691641062542353: 1}",31.443005561828613,0.23059773445129395
282,-191,471697127501384684182175024310806712452355177022376817494728206423405824408510818576051275509508598578823462774742947357130690258231788521367688543505284291269234572599,0.9429735897027351,60377232320177239575318403111783259193901462658864232639325210422195945524289384777734563265217100618089403235167097261712728353053668930735064133568676389282462025292672,"{2: 7, 471697127501384684182175024310806712452355177022376817494728206423405824408510818576051275509508598578823462774742947357130690258231788521367688543505284291269234572599: 1}",31.166239261627197,0.23059773445129395
283,-266,124759088423852606685671216395196849813563484664313931951532360272759410007497066249199961996163132621415533354673026061930307794419348415103368124504575439315152718427,0.9431069293935227,241533595188578646543459474941101101239058906310111772258166649488062217774514320258451126424571824755060472574646978455897075889995858531640120689040858050514135662874672,"{2: 4, 11: 2, 124759088423852606685671216395196849813563484664313931951532360272759410007497066249199961996163132621415533354673026061930307794419348415103368124504575439315152718427: 1}",31.6735782623291,0.23059773445129395
284,-281,241533595188578646543459493183249207958660453267562151643658150421986706591753187008886944253881339628995204814735084968655581841419393943628267326204391143793839728903237,0.9432948587732618,966134380754314586173837972732996831834641813070248606574632601687946826367012748035547777015525358515980819258940339874622327365677575774513069304817564575175358915612948,"{2: 2, 241533595188578646543459493183249207958660453267562151643658150421986706591753187008886944253881339628995204814735084968655581841419393943628267326204391143793839728903237: 1}",30.052083253860474,0.23059773445129395
