n,k,p_n,growth_avg,entry,factors,runtime_s
71,-26,2486182311606652922166961320288999034417,0.8610649727948438,755799422728422488338756241367855706462768,"{2: 4, 19: 1, 2486182311606652922166961320288999034417: 1}",54.95158505439758
72,-37,872753528936812174622759474936857632487711,0.8625436832590782,13964056462988994793964151598989722119803376,"{2: 4, 872753528936812174622759474936857632487711: 1}",63.718064069747925
73,-42,2515089611853310830985525351921243562267,0.8630085385554283,73963755305382164917622329549299930679147936,"{2: 5, 919: 1, 2515089611853310830985525351921243562267: 1}",150.0923581123352
74,-25,450064519828083200308767543169854436422493,0.8639804085354,28804129268997324819761122762870683931039552,"{2: 6, 450064519828083200308767543169854436422493: 1}",46.1767520904541
75,-68,89202964280805626125728029211765053815575811,0.8654384475089659,1427247428492890018011648467388240861049212976,"{2: 4, 89202964280805626125728029211765053815575811: 1}",26.77156400680542
76,-59,178309198605278608882655409302948391048473879,0.866776101013488,5705894355368915484244973097694348513551164128,"{2: 5, 178309198605278608882655409302948391048473879: 1}",50.77896595001221
77,-64,12800039807426222338923519639005362017677153,0.8675954244087498,22835271016448380652639559035985565839536040952,"{2: 3, 223: 1, 12800039807426222338923519639005362017677153: 1}",309.8069109916687
78,-71,11417980578761354098221034219136200775404524011,0.8690463706341419,91343844630090832785768273753089606203236192088,"{2: 3, 11417980578761354098221034219136200775404524011: 1}",19.803171157836914
79,-18,27067583972073782279955541423027122656226617,0.8696047865642506,2165406717765902582396443313842169812498129360,"{2: 4, 5: 1, 27067583972073782279955541423027122656226617: 1}",30.50799012184143
80,-49,335138437575454007186315238945812995455394039177,0.8710687406088218,1340553750301816028745260955783251981821576156708,"{2: 2, 335138437575454007186315238945812995455394039177: 1}",1953.0594699382782
81,-72,22484632793344761075967335088524273614573483303,0.8720491167488222,5846004526269637879751507123016311139789105658780,"{2: 2, 5: 1, 13: 1, 22484632793344761075967335088524273614573483303: 1}",200.16180515289307
82,-41,207552101238586682591678474277147846202606647667,0.8731026591975601,13283334479269547685867422353737462156966825450688,"{2: 6, 207552101238586682591678474277147846202606647667: 1}",515.7979021072388
83,-72,89938433000944307731075161564459737751935567333,0.8739041244817919,93535970320982080040318168027038127262012990026320,"{2: 4, 5: 1, 13: 1, 89938433000944307731075161564459737751935567333: 1}",1406.6889758110046
84,-55,668057686058744122922478304263345969654225586927,0.8747583407679314,363423381215956802869828197519260207491898719288288,"{2: 5, 17: 1, 668057686058744122922478304263345969654225586927: 1}",602.9057710170746
85,-78,2813115896031233027971095828474393648436502150401,0.8756051089073591,1496577656688615970880622980748377420968219144013332,"{2: 2, 7: 1, 19: 1, 2813115896031233027971095828474393648436502150401: 1}",125.34403800964355
86,-43,847721474678915151677066284145926195231094013829597,0.87686091720553,3390885898715660606708265136583704780924376055318388,"{2: 2, 847721474678915151677066284145926195231094013829597: 1}",125.8411967754364
87,-82,5986310703310716799218233791248963661377248118812869,0.878144191112616,23945242813242867196872935164995854645508992475251476,"{2: 2, 5986310703310716799218233791248963661377248118812869: 1}",6276.183018922806
88,-81,23945242681964238220080388182966810252556570961459311,0.8793997839816435,95780970727856952880321552731867241010226283845837244,"{2: 2, 23945242681964238220080388182966810252556570961459311: 1}",535.1074998378754
