n,k,entry,factors,max_factor
81,-36,2003041059245834712185488903382267543562204108592,"{2: 4, 129977851: 1, 12477126628579: 1, 77194424561611887266526403: 1}",77194424561611887266526403
81,-34,1492674385531021480306653816056326956607730902192,"{2: 4, 11: 1, 41106451021: 1, 206320522754730376776281187301188677: 1}",206320522754730376776281187301188677
81,-32,1063670514872192966553430119463507332790927337392,"{2: 4, 11833: 1, 4657: 1, 1206385297158994641819312438567015769027: 1}",1206385297158994641819312438567015769027
81,-30,724042450600620393165461359660858463935957848592,"{2: 4, 7: 2, 647: 1, 38659213: 1, 89716998766370099: 1, 411543683650116817: 1}",411543683650116817
81,-28,470453495944512871702444685674880641857580630288,"{2: 4, 7: 1, 27146897: 1, 811800059730767: 1, 190602855797215720795801: 1}",190602855797215720795801
81,-26,291640771507513978363138056582203972443340284048,"{2: 4, 7: 2, 1153157: 1, 11049827527: 1, 29193639231642782413677531923: 1}",29193639231642782413677531923
81,-24,172432288549514716136933637187086192833846719888,"{2: 4, 7: 1, 17: 1, 23: 1, 3937529424312995892787121784505987231317289: 1}",3937529424312995892787121784505987231317289
81,-22,97217412397443753065637991616357117604047209168,"{2: 4, 157: 1, 19598383587313571: 1, 1974713834453985719598379259: 1}",1974713834453985719598379259
81,-20,52261394467470303873599214953392612868994628048,"{2: 4, 265077301: 1, 12602543507: 1, 977755495493166251480812979: 1}",977755495493166251480812979
81,-18,26786317640485349331443908177712726852464832080,"{2: 4, 5: 1, 7: 1, 189613: 1, 676357927731217: 1, 372975489944936414403683: 1}",372975489944936414403683
81,-16,13090039776514943663618474427347196736050963280,"{2: 4, 5: 1, 809: 1, 5119: 1, 21323: 1, 1852972701288336116740513526163077: 1}",1852972701288336116740513526163077
81,-14,6099231283446715770665909283931457405798051080,"{2: 3, 5: 1, 3727: 1, 40912471716170618263119863723715169075651: 1}",40912471716170618263119863723715169075651
81,-12,2709748377716665883173756487123826215372396680,"{2: 3, 5: 1, 83: 1, 127: 1, 307565239: 1, 20895362523321616261863532656983: 1}",20895362523321616261863532656983
81,-10,1147927823115564464427372355261486353117438280,"{2: 3, 5: 1, 5073647317: 1, 30086808989: 1, 188000146279287494507189: 1}",188000146279287494507189
81,-8,463701675385558128595623116540842222986694600,"{2: 3, 5: 2, 311: 1, 154965793: 1, 48107461098132256154235969610951: 1}",48107461098132256154235969610951
81,-6,178607447164722155332394267073907168765551400,"{2: 3, 5: 2, 1058809: 1, 3741233813: 1, 225443175172857225549069121: 1}",225443175172857225549069121
81,-4,65597122464570958723546795213140120245458600,"{2: 3, 5: 2, 523: 1, 36787: 1, 64009080060593: 1, 266328195337993962301: 1}",266328195337993962301
