n,k,entry,factors,max_factor
20,-5,192278067856,"{2: 4, 7: 1, 1973: 1, 870131: 1}",870131
20,-3,85165071424,"{2: 6, 41: 1, 233: 1, 139297: 1}",139297
20,-1,31608573208,"{2: 3, 3951071651: 1}",3951071651
21,-18,4384099373500,"{2: 2, 5: 3, 7: 1, 11: 1, 71: 1, 181: 1, 8861: 1}",8861
21,-16,4291118456140,"{2: 2, 5: 1, 264463: 1, 811289: 1}",811289
21,-14,3996678884500,"{2: 2, 5: 3, 139: 1, 353: 1, 162907: 1}",162907
21,-12,3407799741220,"{2: 2, 5: 1, 7: 1, 23: 1, 1058322901: 1}",1058322901
21,-10,2573554288240,"{2: 4, 5: 1, 13: 1, 53: 1, 79: 1, 167: 1, 3539: 1}",3539
21,-8,1683692471728,"{2: 4, 67: 1, 131: 1, 11989379: 1}",11989379
21,-6,942140957968,"{2: 4, 7: 1, 499: 1, 16857661: 1}",16857661
21,-4,447773282128,"{2: 4, 1571: 1, 1627: 1, 10949: 1}",10949
21,-2,179990791048,"{2: 3, 22963: 1, 979787: 1}",979787
21,0,60976350568,"{2: 3, 7: 1, 1088863403: 1}",1088863403
22,-19,17550344631604,"{2: 2, 37: 1, 14197: 1, 8352709: 1}",8352709
22,-17,17257454741920,"{2: 5, 5: 1, 19: 1, 1201: 1, 4726723: 1}",4726723
22,-15,16281155109640,"{2: 3, 5: 1, 24767: 1, 16434323: 1}",16434323
22,-13,14220078108160,"{2: 9, 5: 1, 61: 1, 91060951: 1}",91060951
22,-11,11128462605940,"{2: 2, 5: 1, 29: 1, 37: 1, 107: 1, 4846427: 1}",4846427
22,-9,7624631703424,"{2: 7, 6037: 1, 9867059: 1}",9867059
22,-7,4510115345632,"{2: 5, 13: 1, 83: 1, 977: 1, 133697: 1}",133697
22,-5,2285460804352,"{2: 8, 11: 1, 43: 1, 18874379: 1}",18874379
22,-3,987745655272,"{2: 3, 123468206909: 1}",123468206909
22,-1,362919842752,"{2: 6, 311: 1, 18233513: 1}",18233513
23,-20,70243219939228,"{2: 2, 7: 1, 23: 1, 727: 1, 859: 1, 174659: 1}",174659
23,-18,69322708857364,"{2: 2, 131: 1, 8663: 1, 15271297: 1}",15271297
23,-16,66100920070840,"{2: 3, 5: 1, 139: 1, 1163: 1, 10222403: 1}",10222403
23,-14,58941389434120,"{2: 3, 5: 1, 43: 1, 67: 1, 6131: 1, 83423: 1}",83423
23,-12,47605465925980,"{2: 2, 5: 1, 2939: 1, 27631: 1, 29311: 1}",29311
23,-10,34002357716212,"{2: 2, 8500589429053: 1}",8500589429053
23,-8,21154977740320,"{2: 5, 5: 1, 30893: 1, 4279889: 1}",4279889
23,-6,11366497758688,"{2: 5, 71: 1, 5002859929: 1}",5002859929
23,-4,5248697770168,"{2: 3, 109: 1, 6019148819: 1}",6019148819
23,-2,2076505183528,"{2: 3, 173: 1, 599: 1, 2504783: 1}",2504783
23,0,701888395984,"{2: 4, 43868024749: 1}",43868024749
24,-21,281098403995348,"{2: 2, 47: 1, 1933: 1, 17389: 1, 44483: 1}",44483
24,-19,278211346511320,"{2: 3, 5: 1, 619: 1, 11236322557: 1}",11236322557
24,-17,267625469069884,"{2: 2, 1497061: 1, 44691811: 1}",44691811
24,-15,242925088373200,"{2: 4, 5: 2, 1949: 1, 311602217: 1}",311602217
24,-13,201757787212060,"{2: 2, 5: 1, 2153: 1, 4685503651: 1}",4685503651
24,-11,149612539074616,"{2: 3, 13577: 1, 1377444751: 1}",1377444751
24,-9,97467290937172,"{2: 2, 13: 1, 12437: 1, 150709253: 1}",150709253
24,-7,55254471016384,"{2: 6, 227: 1, 3803308853: 1}",3803308853
24,-5,27112591069192,"{2: 3, 97: 1, 7907: 1, 4418731: 1}",4418731
24,-3,11478213320752,"{2: 4, 503: 1, 1426219349: 1}",1426219349
24,-1,4182170371480,"{2: 3, 5: 1, 109013: 1, 959099: 1}",959099
25,-22,1124770188696700,"{2: 2, 5: 2, 7: 1, 13: 1, 37: 1, 193: 1, 337: 1, 51361: 1}",51361
25,-20,1115732443529308,"{2: 2, 11: 1, 827: 1, 1669: 1, 18371539: 1}",18371539
25,-18,1081087753720972,"{2: 2, 59: 1, 397: 1, 2143: 1, 5384387: 1}",5384387
25,-16,996400734189484,"{2: 2, 13: 1, 19161552580567: 1}",19161552580567
25,-14,848198450009380,"{2: 2, 5: 1, 17: 1, 3137: 1, 795250661: 1}",795250661
25,-12,650595404435908,"{2: 2, 43: 1, 12763: 1, 296366953: 1}",296366953
25,-10,442014411886132,"{2: 2, 1021: 1, 2693: 1, 40189661: 1}",40189661
25,-8,263230703986324,"{2: 2, 101: 1, 3593: 1, 181341817: 1}",181341817
25,-6,136592244223960,"{2: 3, 5: 1, 7: 1, 2017: 1, 241858921: 1}",241858921
25,-4,61547231031448,"{2: 3, 7693403878931: 1}",7693403878931
25,-2,24024724435192,"{2: 3, 13: 1, 523129: 1, 441587: 1}",523129
25,0,8106085273144,"{2: 3, 59: 1, 17173909477: 1}",17173909477
26,-23,4500210472932724,"{2: 2, 11: 1, 71: 1, 1440528320401: 1}",1440528320401
26,-21,4471967519284624,"{2: 4, 19: 1, 29: 1, 9949: 1, 50985611: 1}",50985611
26,-19,4358995704692224,"{2: 9, 743: 1, 25889: 1, 442601: 1}",442601
26,-17,4070289956289424,"{2: 4, 7: 1, 149: 1, 379: 1, 643549337: 1}",643549337
26,-15,3540996084217624,"{2: 3, 65413: 1, 6766613831: 1}",6766613831
26,-13,2799984663317104,"{2: 4, 937747: 1, 186616477: 1}",186616477
26,-11,1976638640094304,"{2: 5, 1453: 1, 42512014799: 1}",42512014799
26,-9,1231706523845104,"{2: 4, 83: 1, 63197: 1, 14676169: 1}",14676169
26,-7,673007436658204,"{2: 2, 421: 1, 1427: 1, 280061753: 1}",280061753
26,-5,321233937318304,"{2: 5, 31: 1, 307: 1, 1054803041: 1}",1054803041
26,-3,133621404337024,"{2: 7, 1439: 1, 725446297: 1}",725446297
