n,k,entry,factors,max_factor
88,-57,92715515872032565949336502173941830559208120735853448,"{2: 3, 11: 1, 181: 1, 1363312596221: 1, 4269683908504718976261107546609925971: 1}",4269683908504718976261107546609925971
88,-55,90343511741462610108253481841765426469148193348929728,"{2: 6, 277: 1, 282244244917: 1, 18055608515288764513768394060012839003: 1}",18055608515288764513768394060012839003
88,-53,86785505545607676346628951343500820334058302268544148,"{2: 2, 47: 1, 197: 1, 1201: 1, 5347: 1, 364896695776200271002315961519669413710869: 1}",364896695776200271002315961519669413710869
88,-51,81832202802358650913779114767485388263639042137026968,"{2: 3, 199: 1, 51402137438667494292574820833847605693240604357429: 1}",51402137438667494292574820833847605693240604357429
88,-49,75411254801850654982307104391169087431614075299875068,"{2: 2, 181: 1, 56263: 1, 63031030058185184018003: 1, 29371106710021169856263: 1}",63031030058185184018003
88,-47,67638528274919923065262039198786196950741747023322768,"{2: 4, 107: 1, 39508486141892478425970817289010629060012702700539: 1}",39508486141892478425970817289010629060012702700539
88,-45,58829438211065093559277631980752254405753108309896828,"{2: 2, 240151: 1, 358447: 1, 488833547: 1, 349513824296966843331832948769573: 1}",349513824296966843331832948769573
88,-43,49461040841568687576722786209192347254733444916253368,"{2: 3, 6607: 1, 26417: 1, 13763: 1, 2187149: 1, 1176776483526606644222683709017807: 1}",1176776483526606644222683709017807
88,-41,40092643472072281594167940437632440103713781522609908,"{2: 2, 1601: 1, 408035879: 1, 15343167140528653230572222520961792959163: 1}",15343167140528653230572222520961792959163
88,-39,31267341602256826683065549493409339164347431948887808,"{2: 8, 122138053133815729230724802708630231110732156050343: 1}",122138053133815729230724802708630231110732156050343
88,-37,23422628829087533428752313098544360551577343438912608,"{2: 5, 64853: 1, 3734955251923391351831627: 1, 3021831084967163101349: 1}",3734955251923391351831627
88,-35,16833070099625327095129194526857778516850469090533440,"{2: 6, 5: 1, 1249: 1, 6592550657594017283: 1, 6388478531480693592303574351: 1}",6388478531480693592303574351
88,-33,11595215724924598983787741303209469720016286916180768,"{2: 5, 4523: 1, 318811: 1, 251286391201191044313408305910770817113233: 1}",251286391201191044313408305910770817113233
88,-31,7650658726693186455493560480461977910054742315742336,"{2: 7, 132263: 1, 451908480091110281662622511614050811052997999: 1}",451908480091110281662622511614050811052997999
88,-29,4833118013670748935283431321356626617225067601143456,"{2: 5, 236484293: 1, 11782945765987181: 1, 54202740109742729106226901: 1}",54202740109742729106226901
88,-27,2922372012885417743416792006561043556570460610783296,"{2: 6, 7: 1, 197: 1, 5085433: 1, 360577753: 1, 25085279: 1, 719855719006557057202021: 1}",719855719006557057202021
88,-25,1691002367934870975324957781470556695259713883662304,"{2: 5, 11: 1, 96443: 1, 199089313: 1, 250197458033144111541227133949211303: 1}",250197458033144111541227133949211303
88,-23,936291940384535859397704546737677651230546534781696,"{2: 8, 227: 1, 151890414281: 1, 31011871643: 1, 3420480493614445030057451: 1}",3420480493614445030057451
88,-21,496044190980173708440140159810164875546865581268008,"{2: 3, 1493: 1, 41530826438393646051585746802592504650608303857: 1}",41530826438393646051585746802592504650608303857
88,-19,251462107977750291241493278183768889055931718204848,"{2: 4, 109: 1, 439: 1, 64771134452599055083: 1, 5070841632896039477117491: 1}",5070841632896039477117491
88,-17,121977475799996717430444929087441602090143202465528,"{2: 3, 11: 1, 173: 1, 9516275402374838527: 1, 841945275854474868087622511: 1}",841945275854474868087622511
88,-15,56618566224559199221058619543581162002649951663776,"{2: 5, 3595069: 1, 750819826129: 1, 655489782933662429964662374793: 1}",655489782933662429964662374793
88,-13,25149461614163357120242989022463172330893942018488,"{2: 3, 401: 1, 2288416732338311: 1, 3425778016872737099315728033601: 1}",3425778016872737099315728033601
88,-11,10690683820197699938787158783030582481708748397680,"{2: 4, 5: 1, 647: 1, 54563: 1, 31786039109324903833: 1, 119090347763138328167: 1}",119090347763138328167
88,-9,4349114612318025736394250783279446582943312599080,"{2: 3, 5: 1, 19: 1, 1249: 1, 231783438194723: 1, 19767075515201676327217814729: 1}",19767075515201676327217814729
88,-7,1693243747479529702913460253469141804827873674880,"{2: 7, 5: 1, 149: 1, 65767305168232649: 1, 269987210196941846583562717: 1}",269987210196941846583562717
88,-5,630895401544131289521144041545019893581698105200,"{2: 4, 5: 2, 1291: 1, 3216967168611569: 1, 379773362386825312662187997: 1}",379773362386825312662187997
88,-3,224957415698897749444405326419542415300639147680,"{2: 5, 5: 1, 379: 1, 997: 1, 283142789: 1, 115045386925193: 1, 114227651689587523: 1}",114227651689587523
88,-1,76757833564923599892580081215003018467871591760,"{2: 4, 5: 1, 41: 1, 23401778525891341430664658907013115386546217: 1}",23401778525891341430664658907013115386546217
89,-86,383123885212593119670436662376070008136028457283659900,"{2: 2, 5: 2, 7: 1, 23: 1, 89: 1, 337: 1, 727: 1, 859: 1, 1277: 1, 2729: 1, 3169: 1, 3257: 1, 174197: 1, 174659: 1, 1160913331730153: 1}",1160913331730153
89,-84,383123885098806335375367226305189566922109641591267676,"{2: 2, 95780971274701583843841806576297391730527410397816919: 1}",95780971274701583843841806576297391730527410397816919
89,-82,383123883448897963096860403277423169320286814051580428,"{2: 2, 1588567: 1, 594211: 1, 3694684117: 1, 27463488226731344038053114003883: 1}",27463488226731344038053114003883
89,-80,383123867683106850213350761012099814458424239783457836,"{2: 2, 4567: 1, 9907: 1, 309218908437451: 1, 6846048943280313597705494544061: 1}",6846048943280313597705494544061
89,-78,383123756008753133955157461632726050853564338717589476,"{2: 2, 7: 1, 111271: 1, 5437048387: 1, 22617044954871654652647807334405641571: 1}",22617044954871654652647807334405641571
89,-76,383123130632372322909274985108232974666348892748726660,"{2: 2, 5: 1, 7: 1, 103: 1, 1459: 1, 62889006521513: 1, 22148848198577: 1, 13073502065094307847: 1}",13073502065094307847
89,-74,383120246952394138642150232245292678914188780781192564,"{2: 2, 7: 1, 13682865962585504951505365437331881389792456456471163: 1}",13682865962585504951505365437331881389792456456471163
89,-72,383108986868669800075282149637621047881944534050821332,"{2: 2, 19: 1, 103: 1, 2621224301: 1, 586251222441388993: 1, 31848103488171266676533: 1}",31848103488171266676533
89,-70,383070984086100157412102370836729293148120201335818424,"{2: 3, 7: 1, 6840553287251788525216113764941594520502146452425329: 1}",6840553287251788525216113764941594520502146452425329
89,-68,382958383248856771743421544760012982825677734032106104,"{2: 3, 334661: 1, 143039666725752616731342143527335491297790052483: 1}",143039666725752616731342143527335491297790052483
89,-66,382661867710782522815895369424660032309912570132330328,"{2: 3, 13: 1, 359: 1, 2689: 1, 3811505903739262901185238177463430721750157457: 1}",3811505903739262901185238177463430721750157457
89,-64,381961012802607025350833500450189421999922182732860312,"{2: 3, 13: 1, 1487: 1, 2469873602003304442028564872809149953442153682769: 1}",2469873602003304442028564872809149953442153682769
89,-62,380461962026787211328340058477016172170220520795105000,"{2: 3, 5: 4, 13: 1, 619: 1, 1049: 1, 782549768363599409: 1, 11519132720419192922474123: 1}",11519132720419192922474123
89,-60,377540734873907573746045145913909326348237794967684392,"{2: 3, 73: 1, 4278604560287: 1, 30204980283757327: 1, 5002306099543015600237: 1}",5002306099543015600237
89,-58,372324257815193935206232802051218530237554355990147592,"{2: 3, 13: 1, 4293807449733410674887529: 1, 833768393772055304631871037: 1}",833768393772055304631871037
89,-56,363746051096420396274096947699238109966652700782642632,"{2: 3, 317: 1, 143432985448115298215337913130614396674547594945837: 1}",143432985448115298215337913130614396674547594945837
89,-54,350700028378285639148140335872267887471323100154562172,"{2: 2, 61: 1, 14464170081209: 1, 99369351314453356440758279787528660707: 1}",99369351314453356440758279787528660707
89,-52,332282113952683629087966295645956985124975428679625052,"{2: 2, 13: 1, 17: 1, 4703: 1, 79924461894613246067054122487994325641035766301: 1}",79924461894613246067054122487994325641035766301
89,-50,308065967207910615860700427940992650558481268036652172,"{2: 2, 77016491801977653965175106985248162639620317009163043: 1}",77016491801977653965175106985248162639620317009163043
89,-48,278326839626610424178093221987527678283839316369843372,"{2: 2, 605392752179: 1, 187730651: 1, 612241400152909223602559601678667: 1}",612241400152909223602559601678667
89,-46,244126842908115203743094935141042960168001071953013252,"{2: 2, 47: 1, 1901: 1, 4001: 1, 511183959317: 1, 333987182293293405065410613950687: 1}",333987182293293405065410613950687
89,-44,207212560735771156289445990608329296169953443058656932,"{2: 2, 811: 1, 9142685520767: 1, 6986528750246991726298142636552680709: 1}",6986528750246991726298142636552680709
89,-42,169738971257785532359226607522089667565874789484083092,"{2: 2, 577: 1, 17096927: 1, 74771: 1, 652293311496936323: 1, 88196548455816051539: 1}",88196548455816051539
89,-40,133894668278842761643364588917860457596756077369273332,"{2: 2, 7: 1, 288731: 1, 16561964037564718129054946957284073311534670849: 1}",16561964037564718129054946957284073311534670849
89,-38,101535228089519426969322488789042420819079462265625632,"{2: 5, 461: 1, 1301: 1, 71807890144026712147: 1, 73674361715770789915070603: 1}",73674361715770789915070603
89,-36,73921839127963514714139896679117696102128750710512928,"{2: 5, 23: 1, 449: 1, 223691049941789467881947494066275588572821096127: 1}",223691049941789467881947494066275588572821096127
89,-34,51618717274399124046492418436486187676899329839075744,"{2: 5, 2217220849: 1, 727525593831799940129864833388184220931933: 1}",727525593831799940129864833388184220931933
89,-32,34547191905004158350268422744595403450180513863407776,"{2: 5, 83969: 1, 36587350869075260501333: 1, 351408957632014006860209: 1}",351408957632014006860209
89,-30,22150012767705433261343854444531857761729945119172704,"{2: 5, 280582302927931: 1, 2466969198583371783749670315004419737: 1}",2466969198583371783749670315004419737
89,-28,13600234052327002165533807341039757286936449433493344,"{2: 5, 19: 1, 353: 1, 1489: 1, 42557234653971960339035285088761590285097929: 1}",42557234653971960339035285088761590285097929
89,-26,7995379116690030669391665350972713642349602261770208,"{2: 5, 45293: 1, 50523497: 1, 214130534153: 1, 509901151543585933609415563: 1}",509901151543585933609415563
89,-24,4499878189088478553518071421683589648951353488007392,"{2: 5, 29527: 1, 95177199421953272431: 1, 50037837650640765280956863: 1}",50037837650640765280956863
89,-22,2424424513325056984718125026168172277871143278585720,"{2: 3, 5: 1, 3586991897408758796267399: 1, 16897337537035280697817157: 1}",16897337537035280697817157
89,-20,1250430514913424582164619994361471542714660735882552,"{2: 3, 115861: 1, 5814619: 1, 232012316791990008328443811097423865041: 1}",232012316791990008328443811097423865041
89,-18,617394535377740443532828065446093695326361325601432,"{2: 3, 1303: 1, 1319: 1, 44903850461271536694991210102284348718676947: 1}",44903850461271536694991210102284348718676947
89,-16,291833174473674315093620787718185088098093057456856,"{2: 3, 359: 1, 1399: 1, 5011: 1, 5641: 1, 2569520025867165673395851883165049777: 1}",2569520025867165673395851883165049777
89,-14,132066951067049270581787586610970678995331777719240,"{2: 3, 5: 1, 3301673776676231764544689665274266974883294442981: 1}",3301673776676231764544689665274266974883294442981
89,-12,57221513074756456936604465371554919776020187211528,"{2: 3, 7152689134344557117075558171444364972002523401441: 1}",7152689134344557117075558171444364972002523401441
89,-10,23738027657151777147969911132868922230538686194920,"{2: 3, 5: 1, 83861239235872937: 1, 7076579082734765420551831658129: 1}",7076579082734765420551831658129
89,-8,9428845854756614845134631543686871997426933623720,"{2: 3, 5: 1, 37: 1, 281167: 1, 1668332608838009: 1, 13581565575538686273541163: 1}",13581565575538686273541163
89,-6,3585929952111923571476892378104201485572967990480,"{2: 4, 5: 1, 23: 1, 151: 1, 503: 1, 213751: 1, 33104988953: 1, 805061: 1, 64391567: 1, 69948702259: 1}",69948702259
89,-4,1305767648640824537854360020803647139483615548240,"{2: 4, 5: 1, 5434804065006583: 1, 3003253735144642478264033439191: 1}",3003253735144642478264033439191
89,-2,455230916393668549122145570064551470704253922960,"{2: 4, 5: 1, 4323023: 1, 6165978160265129: 1, 213477561659286671098211: 1}",213477561659286671098211
89,0,151938748305535405853293905459912705093008692240,"{2: 4, 5: 1, 281: 1, 307: 1, 32203: 1, 27583: 1, 24785405609844615424290308640091: 1}",24785405609844615424290308640091
90,-87,1532495540854251573600896743915787320312770152396880244,"{2: 2, 179: 1, 97367: 1, 30685552967: 1, 716375054140120550785726662796654031: 1}",716375054140120550785726662796654031
90,-85,1532495540509012125796538341291638708902357382057462928,"{2: 4, 1663: 1, 6421795103740294998087497: 1, 8968721592946738474619903: 1}",8968721592946738474619903
90,-83,1532495535445500224665948436137459074882970083746008960,"{2: 7, 5: 1, 185477: 1, 860932097: 1, 1184355399248881: 1, 12661298204725250677351: 1}",12661298204725250677351
90,-81,1532495486498218513736912686313722612695559533401953936,"{2: 4, 211: 1, 941: 1, 1935443: 1, 249245173467797384437098374215137767189797: 1}",249245173467797384437098374215137767189797
90,-79,1532495135709366252078823145910277967019117255936226264,"{2: 3, 23: 1, 167: 1, 2951373116399303: 1, 44780999136359: 1, 377352224351828015819: 1}",377352224351828015819
90,-77,1532493147905870102682982416957424974852611016963769456,"{2: 4, 7: 1, 7242409: 1, 117959: 1, 16016454691181476819511832251409740416223: 1}",16016454691181476819511832251409740416223
90,-75,1532483871489554738835725681844111011408915235092304352,"{2: 5, 7: 1, 24749: 1, 276433223761125041638718029343918479283599343677: 1}",276433223761125041638718029343918479283599343677
90,-73,1532447207558403538867996681158155822560022382933656560,"{2: 4, 5: 1, 2151353: 1, 1675544879: 1, 5314076398965698942825570877563650661: 1}",5314076398965698942825570877563650661
90,-71,1532321939126970272311589262147808927326305138058276604,"{2: 2, 463: 1, 1447: 1, 2143279: 1, 79622153294011: 1, 3350640850512001472168152939: 1}",3350640850512001472168152939
90,-69,1531946133832670472642367005116768241625153403432136736,"{2: 5, 15121: 1, 29335301: 1, 472375419941119: 1, 228473146869629739242103427: 1}",228473146869629739242103427
90,-67,1530943986381204340191107653033993079755415444429097088,"{2: 7, 7: 1, 832147003: 1, 505559: 1, 22640879910871: 1, 179384985898519689462709: 1}",179384985898519689462709
90,-65,1528544906118603598868395870775228298309679118330911264,"{2: 5, 13: 1, 101: 1, 1103: 1, 4273: 1, 7718894274240521744935584340291848322460591: 1}",7718894274240521744935584340291848322460591
90,-63,1523346898882968659335853675881237938510583745118175312,"{2: 4, 13: 1, 467: 1, 403106016566341650979: 1, 38904453315736681348894262273: 1}",38904453315736681348894262273
90,-61,1513084166648509932566475496218744151214933905698158176,"{2: 5, 614701: 1, 7252909: 1, 10592089: 1, 90909311: 1, 11014048198986564272481613: 1}",11014048198986564272481613
90,-59,1494513508319489379364743552067564917060900862938127168,"{2: 6, 282683: 1, 9697490849411127149: 1, 8518454356196594314596199411: 1}",8518454356196594314596199411
90,-57,1463562411104455124028523645148932860137512458338075488,"{2: 5, 7: 1, 97927: 1, 1043213: 1, 12369954577: 1, 5415149: 1, 954793101079118505108419: 1}",954793101079118505108419
90,-55,1415846136231277313718517955316041772380622001246329148,"{2: 2, 353961534057819328429629488829010443095155500311582287: 1}",353961534057819328429629488829010443095155500311582287
90,-53,1347546370236336526412039222810138842846249386193437328,"{2: 4, 997: 1, 3911: 1, 110557: 1, 401053: 1, 2677357600936561: 1, 181947614215530501179: 1}",181947614215530501179
90,-51,1256480015576415476670067579468934936800419232789581568,"{2: 8, 479: 1, 673: 1, 8624160481: 1, 1765420694501511667415115027783670289: 1}",1765420694501511667415115027783670289
90,-49,1143046486087741888394980093903575685409999217146182288,"{2: 4, 160752997: 1, 444411032538845095526811583294919722946906869: 1}",444411032538845095526811583294919722946906869
90,-47,1010707368350956035407378027410656558787842532228883128,"{2: 3, 5623621: 1, 1635259534203324847: 1, 13738290990128356458017877893: 1}",13738290990128356458017877893
90,-45,865764525115428672611432906966030848677861401128984048,"{2: 4, 1510541: 1, 91663731069690809: 1, 390795681141395046671446524787: 1}",390795681141395046671446524787
90,-43,716429474509127753367125813174598298867577811510906208,"{2: 5, 241: 1, 1358483131475146266673: 1, 68383633643364140025702780683: 1}",68383633643364140025702780683
90,-41,571422976094313817289320374275671040356143021591903088,"{2: 4, 5503: 1, 481909261: 1, 146276334948593: 1, 92065912223541013511465597: 1}",92065912223541013511465597
90,-39,438500352547401042551332055284987720053994464166150228,"{2: 2, 109625088136850260637833013821246930013498616041537557: 1}",109625088136850260637833013821246930013498616041537557
90,-37,323300745473409971111742178826395509125465714397164416,"{2: 7, 1993: 1, 1267329189167594279633961752173213705490567432879: 1}",1267329189167594279633961752173213705490567432879
90,-35,228777990951160886853617151988576259132826740227740160,"{2: 9, 5: 1, 823: 1, 4421: 1, 117217025117: 1, 209538210832323889013150539704451: 1}",209538210832323889013150539704451
90,-33,155260292989411599097297686670272398027440871429299072,"{2: 7, 1939657: 1, 625353368652178255200604115630497097986593407: 1}",625353368652178255200604115630497097986593407
90,-31,100997230208120458134299986078190976735370349220925888,"{2: 6, 787: 1, 2005186432022721929286451438972978413583432918141: 1}",2005186432022721929286451438972978413583432918141
90,-29,62950714924686439757945276467651129622539293419652736,"{2: 7, 926380073: 1, 151523712383661906349: 1, 3503651411018642492281: 1}",3503651411018642492281
90,-27,37586371402397094173708803393957898213985256218803968,"{2: 8, 18450701: 1, 7957516806034288297016466380201383128932603: 1}",7957516806034288297016466380201383128932603
90,-25,21495013683955466329945879616023482589203662725792384,"{2: 7, 18233: 1, 1574897861: 1, 9419725949099: 1, 413297217533: 1, 1502160997943: 1}",9419725949099
90,-23,11773151729063649507672446500188106482564783323764552,"{2: 3, 1992418331: 1, 210205225340596473773: 1, 3513813586420430485463: 1}",3513813586420430485463
90,-21,6175716058065330731211985009252586906015125486233376,"{2: 5, 130769160549893: 1, 1475815291640636731047518219075739301: 1}",1475815291640636731047518219075739301
90,-19,3102614121046645912763104190699752628693744712686848,"{2: 8, 13: 1, 101: 1, 181: 1, 55501: 1, 12325745617: 1, 74547054785318292219393964733: 1}",74547054785318292219393964733
90,-17,1492894058798763388813690428600648959620640497972000,"{2: 5, 5: 3, 30707284086337: 1, 96797: 1, 125564159511314148041662588337: 1}",125564159511314148041662588337
90,-15,688034027674822126838983547551097125084088390614576,"{2: 4, 3779: 1, 7494283837: 1, 736660932770396357: 1, 2061176900903065201: 1}",2061176900903065201
90,-13,303731490291318641391600982725635438323392339353824,"{2: 5, 7: 1, 8209: 1, 89154451: 1, 5983756049: 1, 333956530837: 1, 927138672469903: 1}",927138672469903
90,-11,128435596046211788380514198770161686467636245796288,"{2: 6, 23: 1, 5010692879: 1, 580936859561: 1, 29974426228346473367405591: 1}",29974426228346473367405591
90,-9,52024565221421621683373805763929538222819487066080,"{2: 5, 5: 1, 7: 2, 13: 1, 1301: 1, 829001: 1, 280513: 1, 2306455667: 1, 731507173290600062969: 1}",731507173290600062969
90,-7,20186635711092385559565308677999476454145837595160,"{2: 3, 5: 1, 1503401: 1, 2939773301: 1, 283974735084647: 1, 402101390830963157: 1}",402101390830963157
90,-5,7503232898034397185039972440515142904023814635200,"{2: 6, 5: 2, 31: 1, 22861: 1, 209021: 1, 15859265029067: 1, 1996174709119812026431: 1}",1996174709119812026431
90,-3,2671460397821830185220796730997301551596377317120,"{2: 8, 5: 1, 13: 1, 245981: 1, 16761476731: 1, 38938711582127634255657379153: 1}",38938711582127634255657379153
90,-1,911047161310274766682027286444289585983279999680,"{2: 6, 5: 1, 241: 1, 848240663243: 1, 13926909401451607871401503069373: 1}",13926909401451607871401503069373
91,-88,6129982163428643579161037258897671144557049579374242908,"{2: 2, 7: 1, 11: 1, 13: 1, 19: 1, 31: 1, 37: 1, 61: 1, 71: 1, 163: 1, 181: 1, 541: 1, 601: 1, 2131: 1, 6553: 1, 9901: 1, 461521: 1, 68583241: 1, 386375761: 1}",386375761
91,-86,6129982162381287950990511767790703447019842298569269028,"{2: 2, 1103749: 1, 1564373: 1, 7532970896413477: 1, 117820888931210137602637133: 1}",117820888931210137602637133
91,-84,6129982146845512799794383649704015933551267633295489808,"{2: 4, 19: 1, 3948005877993327727: 1, 5107493651194290120969762897620101: 1}",5107493651194290120969762897620101
91,-82,6129981994940155765876686495078626912969648683951870768,"{2: 4, 7: 3, 1116979226483264534598521591668846011838492835997061: 1}",1116979226483264534598521591668846011838492835997061
91,-80,6129980893626317269973382124044556513752911301210632728,"{2: 3, 8431: 1, 7668389: 1, 358054234119597517: 1, 33100693682479446346392397: 1}",33100693682479446346392397
91,-78,6129974579426976560127770396782552891576950306827534632,"{2: 3, 223: 1, 251: 1, 373: 1, 3003571: 1, 12219216725525118246545975296441302560431: 1}",12219216725525118246545975296441302560431
91,-76,6129944762374534319190159462489758009079356722240682512,"{2: 4, 7: 1, 13: 1, 419: 1, 499: 1, 6337: 1, 37423: 1, 334728565189: 1, 253667912409410078282347553: 1}",253667912409410078282347553
91,-74,6129825494164765355439715725318578479088982383893274032,"{2: 4, 59981: 1, 405165109251229: 1, 8267757445223641: 1, 1906753974204631403: 1}",1906753974204631403
91,-72,6129413024939314355802764467601582604538937797108486372,"{2: 2, 347197: 1, 6289938923627753056433: 1, 701675807672813421851189693: 1}",701675807672813421851189693
91,-70,6128160340624981690238690277498113652201765348354686812,"{2: 2, 7: 2, 313: 1, 21863: 1, 4568987356037817182604839149070702913395047913: 1}",4568987356037817182604839149070702913395047913
91,-68,6124778092976283493215689964218747480891399736719428000,"{2: 5, 5: 3, 397729: 1, 1386824997166823: 1, 2776012693835486316076876221671: 1}",2776012693835486316076876221671
91,-66,6116578704737015136796295265359677974684452799421830880,"{2: 5, 5: 1, 139: 1, 737248313: 1, 373043947401272008523352045442929605603849: 1}",373043947401272008523352045442929605603849
91,-64,6098585602767509576875956898418942113841430353685437200,"{2: 4, 5: 2, 7: 2, 13: 2, 131: 1, 15307: 1, 28958657993521273: 1, 31706371105331166587865833: 1}",31706371105331166587865833
91,-62,6062599398828498457035280164537470392155385462212649840,"{2: 4, 5: 1, 211: 1, 787: 1, 941: 1, 484978040012701621167473991103143161032316479: 1}",484978040012701621167473991103143161032316479
91,-60,5996624691606978070660706152421438902397636494512539680,"{2: 5, 5: 1, 263: 1, 58389858709839179: 1, 2440583737967327106290314351246849: 1}",2440583737967327106290314351246849
91,-58,5885200741632854751450314487514363497473438237952353632,"{2: 5, 13510750901785036710580349: 1, 13612309523945722274162918599: 1}",13612309523945722274162918599
91,-56,5711100819798287065184077511097058177279378462077062932,"{2: 2, 107: 1, 197: 1, 67734484792901549708051585833021706168216927535427: 1}",67734484792901549708051585833021706168216927535427
91,-54,5458485246940286892954635623746458300919370159826641132,"{2: 2, 2549: 1, 7219: 1, 61153: 1, 34381: 1, 153623: 1, 229600462617006692573665039693087: 1}",229600462617006692573665039693087
91,-52,5116986416965582956422241961216943653247507084562182032,"{2: 4, 13: 2, 97: 1, 283: 1, 128451682859120916203: 1, 536672829722245955330195561: 1}",536672829722245955330195561
91,-50,4685619473839641141855007861179661993030416884228128432,"{2: 4, 157: 1, 1865294376528519562840369371488718946270070415695911: 1}",1865294376528519562840369371488718946270070415695911
91,-48,4175168591140609994617114176135545361773526813832831672,"{2: 3, 16892369737: 1, 701032046493409851557: 1, 44071271416698905272051: 1}",44071271416698905272051
91,-46,3608000943697242053241676748308749104821426735615835272,"{2: 3, 971: 1, 81801277: 1, 21348863392194389: 1, 265963833337428287438789843: 1}",265963833337428287438789843
91,-44,3015052948642811932712810346489825745280594835661702672,"{2: 4, 7: 1, 1021554572561: 1, 26352107205975793192053866085638542576871: 1}",26352107205975793192053866085638542576871
91,-42,2430698402792069205235086936001611419936006876286615472,"{2: 4, 19: 1, 19249: 1, 10465289288740823: 1, 39691552071127649290154682584159: 1}",39691552071127649290154682584159
91,-40,1886924033736516944943316540130634200518126414090353772,"{2: 2, 13: 1, 29514401893513: 1, 10426876677401: 1, 117913314872032819963390247: 1}",117913314872032819963390247
91,-38,1408402588967630955886558591764174247430391607357643476,"{2: 2, 7: 1, 1123: 1, 141461: 1, 1503367: 1, 248790071: 1, 846553181734759686422963346877: 1}",846553181734759686422963346877
91,-36,1009634718326892631672593634792124286523945935080384896,"{2: 7, 343037: 1, 166063: 1, 138465143980399697822476563990538812110497: 1}",138465143980399697822476563990538812110497
91,-34,694558869919395684145510211999393453215149354515637376,"{2: 7, 212561770880644049: 1, 25527831974509553012110507818410233: 1}",25527831974509553012110507818410233
91,-32,458251983613772973500197644904845328233551919092076736,"{2: 6, 167: 1, 15131: 1, 1128703: 1, 659783086469579: 1, 3805041690659047207245251: 1}",3805041690659047207245251
91,-30,289849374982179777408135815481144365602988229479884096,"{2: 6, 299095214887744302221107: 1, 15141989101351332465598651927: 1}",15141989101351332465598651927
91,-28,175709829131877722279071686649524824264495062076064640,"{2: 7, 5: 1, 38216539: 1, 3735328631: 1, 1923250757709688829794399179106439: 1}",1923250757709688829794399179106439
91,-26,102071412454263493163546442242028345981596244396181120,"{2: 7, 5: 1, 29: 1, 17055615553: 1, 322447307273575384111722214009024138109: 1}",322447307273575384111722214009024138109
91,-24,56814468871146414852963219116587802036898012697086040,"{2: 3, 5: 1, 24659: 1, 33640953287: 1, 341151135389: 1, 5018898169116444484566623: 1}",5018898169116444484566623
91,-22,30300299903259641701308401527945867200610159782464680,"{2: 3, 5: 1, 373: 1, 451946001024611: 1, 7858827610414849: 1, 571786363471846511: 1}",571786363471846511
91,-20,15483558421205268469501297581351844792096359624293920,"{2: 5, 5: 1, 48615323: 1, 516230573: 1, 3855972229358265856928792522190403: 1}",3855972229358265856928792522190403
91,-18,7581296297442936079204175476501699507555666206602848,"{2: 5, 29303: 1, 14278987920599192737: 1, 566218403305778032848662149: 1}",566218403305778032848662149
91,-16,3556996141823229769330641071253940334872905669815728,"{2: 4, 1373: 1, 1733: 1, 672697710675062473003: 1, 138891082198151909209729: 1}",138891082198151909209729
91,-14,1599228498548778051013786495728003440054265408676048,"{2: 4, 23: 1, 9534713815493979303491: 1, 455779764313412034583407721: 1}",455779764313412034583407721
91,-12,689038278429954006533143579036120497726301076742688,"{2: 5, 2683: 1, 17747: 1, 17066507: 1, 26497390469496524007151067487527987: 1}",26497390469496524007151067487527987
91,-10,284509291710476653430635616061950301136094706994528,"{2: 5, 695901949: 1, 12776103557014747518270512850562438804871: 1}",12776103557014747518270512850562438804871
91,-8,112584472354698778362069731797927967585256999851560,"{2: 3, 5: 1, 89220121: 1, 31546827972442107078645895301444381471209: 1}",31546827972442107078645895301444381471209
91,-6,42696334405195577114685225999544905166217281500760,"{2: 3, 5: 1, 2108832829: 1, 14293061612575937: 1, 35413037584380103777403: 1}",35413037584380103777403
91,-4,15517614091499887740702362633507047558812946586560,"{2: 6, 5: 1, 857: 1, 225157: 1, 373721: 1, 672451847637692793007157989910327: 1}",672451847637692793007157989910327
91,-2,5404601881752654485266878590330170309546217316160,"{2: 6, 5: 1, 457: 1, 661265959: 1, 707740415461679: 1, 78967314086415364969: 1}",78967314086415364969
91,0,1803756625251745674619395635562645834428518257760,"{2: 5, 5: 1, 19: 1, 41: 1, 7348489: 1, 3254729: 1, 170582049417869: 1, 3547106998428281: 1}",3547106998428281
92,-89,24519928653749486170916499885294250168146105226857137428,"{2: 2, 131: 1, 14197: 1, 500111: 1, 6590599572364310754708781174055787590785141: 1}",6590599572364310754708781174055787590785141
92,-87,24519928650572507432132572562269781485616576475082049992,"{2: 3, 23: 1, 29: 1, 13451: 1, 243671: 1, 100207302739: 1, 13990898001615884869197355487213: 1}",13990898001615884869197355487213
92,-85,24519928602917826350373662716902751247673645198455738452,"{2: 2, 1031: 1, 4937: 1, 6473: 1, 186050915083373670887963748559499222762418323: 1}",186050915083373670887963748559499222762418323
92,-83,24519928131665980097424443134939896672460213685151102112,"{2: 5, 811: 1, 25482347944069: 1, 37077369839673960645014343354043424099: 1}",37077369839673960645014343354043424099
92,-81,24519924675819107575796832867212296454228382587583768952,"{2: 3, 3064990584477388446974604108401537056778547823447971119: 1}",3064990584477388446974604108401537056778547823447971119
92,-79,24519904631907246950356693314392215188483762221693236624,"{2: 4, 19: 1, 79: 1, 3365123791: 1, 1124956000863349453: 1, 269700356225914807995343: 1}",269700356225914807995343
